NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
Repeat times    n         c
      8       300001   1623.47
      3       279680   1623.47
      1       277741   1623.47
      5       277514   1623.47
      1       275177   1623.47
      2       266488   1623.47
      5       265867   1623.47
      4       236589   1623.47
      2       222170   1623.47
      1       209327   1623.47
     13       205225   1623.47
      7       190517   1623.47
     12       187540   1623.47
      4       186266   1623.47
      7       177820   1623.47
      8       167347   1623.47
      7       162031   1623.47
      4       149450   1623.47
      6       142689   1623.47
      9       126066   1623.47
      5       125736   1623.47
     12       109592   1623.47
      1       101544   1623.47
      3        98337   1623.47
      4        90475   1623.47
      3        90220   1623.47
      1        89587   1623.47
      1        85731   1623.47
     11        85702   1623.47
      2        82725   1623.47
