NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
Repeat times    n         c
      4       300000   1623.47
      2       295067   1623.47
      1       293001   1623.47
      4       289105   1623.47
      3       268717   1623.47
      4       264261   1623.47
      4       241565   1623.47
      5       219110   1623.47
      1       200865   1623.47
      2       191780   1623.47
      1       167549   1623.47
      2       165324   1623.47
      3       154287   1623.47
      2       153134   1623.47
      5       147177   1623.47
      2       144456   1623.47
      1       133472   1623.47
      8       132399   1623.47
      2       122624   1623.47
      1       119300   1623.47
      1       117225   1623.47
      2       104792   1623.47
      1        91432   1623.47
      2        88272   1623.47
      2        84230   1623.47
