NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:

n = 100,000 points
Repeat times    n         c
      2       100000   1623.47
      3        99950   1623.47
      3        92541   1623.47
      5        91104   1623.47
      4        89978   1623.47
      1        89924   1623.47
      1        87965   1623.47
      5        85660   1623.47

n = 200,000 points
Repeat times    n         c
      6       200000   1623.47
      7       193836   1623.47
      2       179534   1623.47
      1       172501   1623.47
     13       158381   1623.47
      3       156531   1623.47
      2       149597   1623.47
      1       141952   1623.47
      5       128837   1623.47
      3       128660   1623.47
      1       122847   1623.47
      1       121990   1623.47
      2       121805   1623.47
      1       120399   1623.47
      1       119594   1623.47
      1       113102   1623.47
      1       106193   1623.47
      1       106103   1623.47
      1       105984   1623.47
      4       101943   1623.47
      2        96367   1623.47
      2        96154   1623.47
      6        83621   1623.47
     13        83288   1623.47
      2        82515   1623.47

n = 300,000 points
Repeat times    n         c
      1       300000   1623.47
      1       289192   1623.47
      7       278805   1623.47
      7       261946   1623.47
      6       236561   1623.47
      7       210330   1623.47
      1       187469   1623.47
      4       183369   1623.47
      4       174136   1623.47
      2       171831   1623.47
      3       169746   1623.47
      6       167478   1623.47
      5       166197   1623.47
      1       163279   1623.47
      8       158906   1623.47
      3       154952   1623.47
      4       154660   1623.47
      3       150942   1623.47
      1       141001   1623.47
      1       136492   1623.47
      2       132734   1623.47
      3       128108   1623.47
      1       127759   1623.47
      1       117991   1623.47
      6       105882   1623.47
      1        99357   1623.47
      1        98900   1623.47
      3        98389   1623.47
      6        92217   1623.47
      5        85520   1623.47
      1        80292   1623.47
      
n = 300,000 points
Repeat times    n         c
      4       300000   1623.47
      2       295067   1623.47
      1       293001   1623.47
      4       289105   1623.47
      3       268717   1623.47
      4       264261   1623.47
      4       241565   1623.47
      5       219110   1623.47
      1       200865   1623.47
      2       191780   1623.47
      1       167549   1623.47
      2       165324   1623.47
      3       154287   1623.47
      2       153134   1623.47
      5       147177   1623.47
      2       144456   1623.47
      1       133472   1623.47
      8       132399   1623.47
      2       122624   1623.47
      1       119300   1623.47
      1       117225   1623.47
      2       104792   1623.47
      1        91432   1623.47
      2        88272   1623.47
      2        84230   1623.47
      
n = 300,001 points
Repeat times    n         c
      8       300001   1623.47
      3       279680   1623.47
      1       277741   1623.47
      5       277514   1623.47
      1       275177   1623.47
      2       266488   1623.47
      5       265867   1623.47
      4       236589   1623.47
      2       222170   1623.47
      1       209327   1623.47
     13       205225   1623.47
      7       190517   1623.47
     12       187540   1623.47
      4       186266   1623.47
      7       177820   1623.47
      8       167347   1623.47
      7       162031   1623.47
      4       149450   1623.47
      6       142689   1623.47
      9       126066   1623.47
      5       125736   1623.47
     12       109592   1623.47
      1       101544   1623.47
      3        98337   1623.47
      4        90475   1623.47
      3        90220   1623.47
      1        89587   1623.47
      1        85731   1623.47
     11        85702   1623.47
      2        82725   1623.47

n = 400,000 points
Repeat times    n         c
      2       400000   1623.47
      7       156784   1623.47
      2       152007   1623.47
      1       141194   1623.47
     11       135121   1623.47
      1       131948   1623.47
      4       130841   1623.47
      2       114965   1623.47
      2       113031   1623.47
      6       112309   1623.47
      2       111989   1623.47
     10       108144   1623.47
      5       107820   1623.47
      2       104775   1623.47
      1       103930   1623.47
      6       102441   1623.47
      1        97632   1623.47
      1        96053   1623.47
      5        94928   1623.47
      1        94743   1623.47
      4        91280   1623.47
      3        84336   1623.47
      7        80870   1623.47
      4       349939   1623.47
      2       348061   1623.47
      2       122776   1623.47
      5       122599   1623.47
      9       116690   1623.47
      2       114616   1623.47
      3       104747   1623.47
      4       100824   1623.47
      1        89705   1623.47
      2        89001   1623.47
      2        87197   1623.47
      3        85684   1623.47
      2        85512   1623.47
      4        85166   1623.47
      3        84500   1623.47
      7       304032   1623.47
      4       296491   1623.47
      4       282954   1623.47
      5       260321   1623.47
      8       255588   1623.47
      2       243047   1623.47
      1       238071   1623.47
      3       234188   1623.47
      2       220125   1623.47
      2       199820   1623.47
      2       198879   1623.47
      3       185225   1623.47
      3       175898   1623.47
      2       161527   1623.47
      5       159174   1623.47
      3       155840   1623.47
      3       139668   1623.47
      2       123766   1623.47
      3       122612   1623.47
      1       119936   1623.47
      2       116693   1623.47
      1       116316   1623.47
      1       110175   1623.47
      6       109210   1623.47
      1       106299   1623.47
      2       104826   1623.47
      4       104665   1623.47
      3        97190   1623.47
      3        96863   1623.47
      3        94628   1623.47
      1        90748   1623.47
      7        84383   1623.47

n = 500,000 points
Repeat times    n         c
      4       500000   1623.47
      5       488526   1623.47
     13       460834   1623.47
      1       443749   1623.47
      4       111650   1623.47
      1       109489   1623.47
      5       100960   1623.47
      1        94215   1623.47
      2        89721   1623.47
      1        89608   1623.47
      1        83831   1623.47
      5       415324   1623.47
      4       120742   1623.47
      6       112407   1623.47
      5       105422   1623.47
      2       101067   1623.47
      1        96758   1623.47
     18        96737   1623.47
      4        96727   1623.47
      5        92454   1623.47
      7        91741   1623.47
      1        90404   1623.47
      6        83780   1623.47
      2       373335   1623.47
      7       353728   1623.47
      4       130092   1623.47
      3       129220   1623.47
      6       123421   1623.47
      1       122808   1623.47
      8       118905   1623.47
      2       114435   1623.47
      1       112195   1623.47
      1       104849   1623.47
      1       102506   1623.47
      1       101118   1623.47
      2        95044   1623.47
      7        94275   1623.47
      6        90449   1623.47
      5        82783   1623.47
      1       319678   1623.47
      4       314017   1623.47
      1       118997   1623.47
      2       107599   1623.47
      1        91075   1623.47
      1        80466   1623.47
      4       269291   1623.47
      5       247150   1623.47
      3       246909   1623.47
      4       229179   1623.47
      1       228603   1623.47
     11       221738   1623.47
      1       202557   1623.47
      1       201630   1623.47
      1       182387   1623.47
      2       162337   1623.47
      2       162038   1623.47
      4       155513   1623.47
      1       154483   1623.47
