NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
Repeat times    n         c
      1       300000   1623.47
      1       299815   1623.47
      1       299630   1623.47
      1       299445   1623.47
      1       299260   1623.47
      1       299075   1623.47
      1       298890   1623.47
      1       298705   1623.47
      1       298521   1623.47
      1       298337   1623.47
      1       298153   1623.47
      1       297969   1623.47
      1       297785   1623.47
      1       297601   1623.47
      1       297417   1623.47
      1       297233   1623.47
      1       297049   1623.47
      1       296866   1623.47
      1       296683   1623.47
      1       296500   1623.47
      1       296317   1623.47
      1       296134   1623.47
      1       295951   1623.47
      1       295768   1623.47
      1       295585   1623.47
      1       295402   1623.47
      1       295220   1623.47
      1       295038   1623.47
      1       294856   1623.47
      1       294674   1623.47
      1       294492   1623.47
      1       294310   1623.47
      1       294128   1623.47
      1       293946   1623.47
      1       293764   1623.47
      1       293583   1623.47
      1       293402   1623.47
      1       293221   1623.47
      1       293040   1623.47
      1       292859   1623.47
      1       292678   1623.47
      1       292497   1623.47
      1       292316   1623.47
      1       292135   1623.47
      1       291955   1623.47
      1       291775   1623.47
      1       291595   1623.47
      1       291415   1623.47
      1       291235   1623.47
      1       291055   1623.47
      1       290875   1623.47
      1       290695   1623.47
      1       290515   1623.47
      1       290336   1623.47
      1       290157   1623.47
      1       289978   1623.47
      1       289799   1623.47
      1       289620   1623.47
      1       289441   1623.47
      1       289262   1623.47
      1       289083   1623.47
      1       288904   1623.47
      1       288726   1623.47
      1       288548   1623.47
      1       288370   1623.47
      1       288192   1623.47
      1       288014   1623.47
      1       287836   1623.47
      1       287658   1623.47
      1       287480   1623.47
      1       287302   1623.47
      1       287125   1623.47
      1       286948   1623.47
      1       286771   1623.47
      1       286594   1623.47
      1       286417   1623.47
      1       286240   1623.47
      1       286063   1623.47
      1       285886   1623.47
      1       285709   1623.47
      1       285533   1623.47
      1       285357   1623.47
      1       285181   1623.47
      1       285005   1623.47
      1       284829   1623.47
      1       284653   1623.47
      1       284477   1623.47
      1       284301   1623.47
      1       284125   1623.47
      1       283949   1623.47
      1       283774   1623.47
      1       283599   1623.47
      1       283424   1623.47
      1       283249   1623.47
      1       283074   1623.47
      1       282899   1623.47
      1       282724   1623.47
      1       282549   1623.47
      1       282374   1623.47
      1       282200   1623.47
      1       282026   1623.47
      1       281852   1623.47
      1       281678   1623.47
      1       281504   1623.47
      1       281330   1623.47
      1       281156   1623.47
      1       280982   1623.47
      1       280808   1623.47
      1       280635   1623.47
      1       280462   1623.47
      1       280289   1623.47
      1       280116   1623.47
      1       279943   1623.47
      1       279770   1623.47
      1       279597   1623.47
      1       279424   1623.47
      1       279251   1623.47
      1       279078   1623.47
      1       278906   1623.47
      1       278734   1623.47
      1       278562   1623.47
      1       278390   1623.47
      1       278218   1623.47
      1       278046   1623.47
      1       277874   1623.47
      1       277702   1623.47
      1       277530   1623.47
      1       277359   1623.47
      1       277188   1623.47
      1       277017   1623.47
      1       276846   1623.47
      1       276675   1623.47
      1       276504   1623.47
      1       276333   1623.47
      1       276162   1623.47
      1       275991   1623.47
      1       275820   1623.47
      1       275650   1623.47
      1       275480   1623.47
      1       275310   1623.47
      1       275140   1623.47
      1       274970   1623.47
      1       274800   1623.47
      1       274630   1623.47
      1       274460   1623.47
      1       274290   1623.47
      1       274121   1623.47
      1       273952   1623.47
      1       273783   1623.47
      1       273614   1623.47
      1       273445   1623.47
      1       273276   1623.47
      1       273107   1623.47
      1       272938   1623.47
      1       272769   1623.47
      1       272600   1623.47
      1       272432   1623.47
      1       272264   1623.47
      1       272096   1623.47
      1       271928   1623.47
      1       271760   1623.47
      1       271592   1623.47
      1       271424   1623.47
      1       271256   1623.47
      1       271088   1623.47
      1       270921   1623.47
      1       270754   1623.47
      1       270587   1623.47
      1       270420   1623.47
      1       270253   1623.47
      1       270086   1623.47
      1       269919   1623.47
      1       269752   1623.47
      1       269585   1623.47
      1       269418   1623.47
      1       269252   1623.47
      1       269086   1623.47
      1       268920   1623.47
      1       268754   1623.47
      1       268588   1623.47
      1       268422   1623.47
      1       268256   1623.47
      1       268090   1623.47
      1       267924   1623.47
      1       267758   1623.47
      1       267593   1623.47
      1       267428   1623.47
      1       267263   1623.47
      1       267098   1623.47
      1       266933   1623.47
      1       266768   1623.47
      1       266603   1623.47
      1       266438   1623.47
      1       266273   1623.47
      1       266108   1623.47
      1       265944   1623.47
      1       265780   1623.47
      1       265616   1623.47
      1       265452   1623.47
      1       265288   1623.47
      1       265124   1623.47
      1       264960   1623.47
      1       264796   1623.47
      1       264632   1623.47
      1       264468   1623.47
      1       264305   1623.47
      1       264142   1623.47
      1       263979   1623.47
      1       263816   1623.47
      1       263653   1623.47
      1       263490   1623.47
      1       263327   1623.47
      1       263164   1623.47
      1       263001   1623.47
      1       262839   1623.47
      1       262677   1623.47
      1       262515   1623.47
      1       262353   1623.47
      1       262191   1623.47
      1       262029   1623.47
      1       261867   1623.47
      1       261705   1623.47
      1       261543   1623.47
      1       261381   1623.47
      1       261219   1623.47
      1       261058   1623.47
      1       260897   1623.47
      1       260736   1623.47
      1       260575   1623.47
      1       260414   1623.47
      1       260253   1623.47
      1       260092   1623.47
      1       259931   1623.47
      1       259770   1623.47
      1       259609   1623.47
      1       259449   1623.47
      1       259289   1623.47
      1       259129   1623.47
      1       258969   1623.47
      1       258809   1623.47
      1       258649   1623.47
      1       258489   1623.47
      1       258329   1623.47
      1       258169   1623.47
      1       258009   1623.47
      1       257850   1623.47
      1       257691   1623.47
      1       257532   1623.47
      1       257373   1623.47
      1       257214   1623.47
      1       257055   1623.47
      1       256896   1623.47
      1       256737   1623.47
      1       256578   1623.47
      1       256419   1623.47
      1       256261   1623.47
      1       256103   1623.47
      1       255945   1623.47
      1       255787   1623.47
      1       255629   1623.47
      1       255471   1623.47
      1       255313   1623.47
      1       255155   1623.47
      1       254997   1623.47
      1       254839   1623.47
      1       254682   1623.47
      1       254525   1623.47
      1       254368   1623.47
      1       254211   1623.47
      1       254054   1623.47
      1       253897   1623.47
      1       253740   1623.47
      1       253583   1623.47
      1       253426   1623.47
      1       253269   1623.47
      1       253112   1623.47
      1       252956   1623.47
      1       252800   1623.47
      1       252644   1623.47
      1       252488   1623.47
      1       252332   1623.47
      1       252176   1623.47
      1       252020   1623.47
      1       251864   1623.47
      1       251708   1623.47
      1       251552   1623.47
      1       251397   1623.47
      1       251242   1623.47
      1       251087   1623.47
      1       250932   1623.47
      1       250777   1623.47
      1       250622   1623.47
      1       250467   1623.47
      1       250312   1623.47
      1       250157   1623.47
      1       250002   1623.47
      1       249848   1623.47
      1       249694   1623.47
      1       249540   1623.47
      1       249386   1623.47
      1       249232   1623.47
      1       249078   1623.47
      1       248924   1623.47
      1       248770   1623.47
      1       248616   1623.47
      1       248462   1623.47
      1       248308   1623.47
      1       248155   1623.47
      1       248002   1623.47
      1       247849   1623.47
      1       247696   1623.47
      1       247543   1623.47
      1       247390   1623.47
      1       247237   1623.47
      1       247084   1623.47
      1       246931   1623.47
      1       246778   1623.47
      1       246625   1623.47
      1       246473   1623.47
      1       246321   1623.47
