NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
n = 100,000 points
Repeat times    n         c
      1       100000   1623.47
      1        99938   1623.47
      1        99876   1623.47
      1        99814   1623.47
      1        99752   1623.47
      1        99690   1623.47
      1        99628   1623.47
      1        99566   1623.47
      1        99504   1623.47
      1        99442   1623.47
      1        99380   1623.47
      1        99318   1623.47
      1        99256   1623.47
      1        99194   1623.47
      1        99132   1623.47
      1        99070   1623.47
      1        99008   1623.47
      1        98947   1623.47
      1        98886   1623.47
      1        98825   1623.47
      1        98764   1623.47
      1        98703   1623.47
      1        98642   1623.47
      1        98581   1623.47
      1        98520   1623.47
      1        98459   1623.47
      1        98398   1623.47
      1        98337   1623.47
      1        98276   1623.47
      1        98215   1623.47
      1        98154   1623.47
      1        98093   1623.47
      1        98032   1623.47
      1        97971   1623.47
      1        97910   1623.47
      1        97849   1623.47
      1        97788   1623.47
      1        97727   1623.47
      1        97666   1623.47
      1        97605   1623.47
      1        97544   1623.47
      1        97483   1623.47
      1        97422   1623.47
      1        97361   1623.47
      1        97301   1623.47
      1        97241   1623.47
      1        97181   1623.47
      1        97121   1623.47
      1        97061   1623.47
      1        97001   1623.47
      1        96941   1623.47
      1        96881   1623.47
      1        96821   1623.47
      1        96761   1623.47
      1        96701   1623.47
      1        96641   1623.47
      1        96581   1623.47
      1        96521   1623.47
      1        96461   1623.47
      1        96401   1623.47
      1        96341   1623.47
      1        96281   1623.47
      1        96221   1623.47
      1        96161   1623.47
      1        96101   1623.47
      1        96041   1623.47
      1        95981   1623.47
      1        95921   1623.47
      1        95861   1623.47
      1        95801   1623.47
      1        95741   1623.47
      1        95682   1623.47
      1        95623   1623.47
      1        95564   1623.47
      1        95505   1623.47
      1        95446   1623.47
      1        95387   1623.47
      1        95328   1623.47
      1        95269   1623.47
      1        95210   1623.47
      1        95151   1623.47
      1        95092   1623.47
      1        95033   1623.47
      1        94974   1623.47
      1        94915   1623.47
      1        94856   1623.47
      1        94797   1623.47
      1        94738   1623.47
      1        94679   1623.47
      1        94620   1623.47
      1        94561   1623.47
      1        94502   1623.47
      1        94443   1623.47
      1        94384   1623.47
      1        94325   1623.47
      1        94266   1623.47
      1        94207   1623.47
      1        94148   1623.47
      1        94090   1623.47
      1        94032   1623.47
      1        93974   1623.47
      1        93916   1623.47
      1        93858   1623.47
      1        93800   1623.47
      1        93742   1623.47
      1        93684   1623.47
      1        93626   1623.47
      1        93568   1623.47
      1        93510   1623.47
      1        93452   1623.47
      1        93394   1623.47
      1        93336   1623.47
      1        93278   1623.47
      1        93220   1623.47
      1        93162   1623.47
      1        93104   1623.47
      1        93046   1623.47
      1        92988   1623.47
      1        92930   1623.47
      1        92872   1623.47
      1        92814   1623.47
      1        92756   1623.47
      1        92698   1623.47
      1        92640   1623.47
      1        92582   1623.47
      1        92524   1623.47
      1        92467   1623.47
      1        92410   1623.47
      1        92353   1623.47
      1        92296   1623.47
      1        92239   1623.47
      1        92182   1623.47
      1        92125   1623.47
      1        92068   1623.47
      1        92011   1623.47
      1        91954   1623.47
      1        91897   1623.47
      1        91840   1623.47
      1        91783   1623.47
      1        91726   1623.47
      1        91669   1623.47
      1        91612   1623.47
      1        91555   1623.47
      1        91498   1623.47
      1        91441   1623.47
      1        91384   1623.47
      1        91327   1623.47
      1        91270   1623.47
      1        91213   1623.47
      1        91156   1623.47
      1        91099   1623.47
      1        91042   1623.47
      1        90985   1623.47
      1        90928   1623.47
      1        90871   1623.47
      1        90815   1623.47
      1        90759   1623.47
      1        90703   1623.47
      1        90647   1623.47
      1        90591   1623.47
      1        90535   1623.47
      1        90479   1623.47
      1        90423   1623.47
      1        90367   1623.47
      1        90311   1623.47
      1        90255   1623.47
      1        90199   1623.47
      1        90143   1623.47
      1        90087   1623.47
      1        90031   1623.47
      1        89975   1623.47
      1        89919   1623.47
      1        89863   1623.47
      1        89807   1623.47
      1        89751   1623.47
      1        89695   1623.47
      1        89639   1623.47
      1        89583   1623.47
      1        89527   1623.47
      1        89471   1623.47
      1        89415   1623.47
      1        89359   1623.47
      1        89303   1623.47
      1        89247   1623.47
      1        89192   1623.47
      1        89137   1623.47
      1        89082   1623.47
      1        89027   1623.47
      1        88972   1623.47
      1        88917   1623.47
      1        88862   1623.47
      1        88807   1623.47
      1        88752   1623.47
      1        88697   1623.47
      1        88642   1623.47
      1        88587   1623.47
      1        88532   1623.47
      1        88477   1623.47
      1        88422   1623.47
      1        88367   1623.47
      1        88312   1623.47
      1        88257   1623.47
      1        88202   1623.47
      1        88147   1623.47
      1        88092   1623.47
      1        88037   1623.47
      1        87982   1623.47
      1        87927   1623.47
      1        87872   1623.47
      1        87817   1623.47
      1        87762   1623.47
      1        87707   1623.47
      1        87652   1623.47
      1        87598   1623.47
      1        87544   1623.47
      1        87490   1623.47
      1        87436   1623.47
      1        87382   1623.47
      1        87328   1623.47
      1        87274   1623.47
      1        87220   1623.47
      1        87166   1623.47
      1        87112   1623.47
      1        87058   1623.47
      1        87004   1623.47
      1        86950   1623.47
      1        86896   1623.47
      1        86842   1623.47
      1        86788   1623.47
      1        86734   1623.47
      1        86680   1623.47
      1        86626   1623.47
      1        86572   1623.47
      1        86518   1623.47
      1        86464   1623.47
      1        86410   1623.47
      1        86356   1623.47
      1        86302   1623.47
      1        86248   1623.47
      1        86194   1623.47
      1        86140   1623.47
      1        86086   1623.47
      1        86032   1623.47
      1        85979   1623.47
      1        85926   1623.47
      1        85873   1623.47
      1        85820   1623.47
      1        85767   1623.47
      1        85714   1623.47
      1        85661   1623.47
      1        85608   1623.47
      1        85555   1623.47
      1        85502   1623.47
      1        85449   1623.47
      1        85396   1623.47
      1        85343   1623.47
      1        85290   1623.47
      1        85237   1623.47
      1        85184   1623.47
      1        85131   1623.47
      1        85078   1623.47
      1        85025   1623.47
      1        84972   1623.47
      1        84919   1623.47
      1        84866   1623.47
      1        84813   1623.47
      1        84760   1623.47
      1        84707   1623.47
      1        84654   1623.47
      1        84601   1623.47
      1        84548   1623.47
      1        84495   1623.47
      1        84442   1623.47
      1        84389   1623.47
      1        84337   1623.47
      1        84285   1623.47
      1        84233   1623.47
      1        84181   1623.47
      1        84129   1623.47
      1        84077   1623.47
      1        84025   1623.47
      1        83973   1623.47
      1        83921   1623.47
      1        83869   1623.47
      1        83817   1623.47
      1        83765   1623.47
      1        83713   1623.47
      1        83661   1623.47
      1        83609   1623.47
      1        83557   1623.47
      1        83505   1623.47
      1        83453   1623.47
      1        83401   1623.47
      1        83349   1623.47
      1        83297   1623.47
      1        83245   1623.47
      1        83193   1623.47
      1        83141   1623.47
      1        83089   1623.47
      1        83037   1623.47
      1        82985   1623.47
      1        82933   1623.47
      1        82881   1623.47
      1        82829   1623.47
      1        82777   1623.47
      1        82726   1623.47
      1        82675   1623.47
      1        82624   1623.47
      1        82573   1623.47
      1        82522   1623.47
      1        82471   1623.47
      1        82420   1623.47
      1        82369   1623.47
      1        82318   1623.47
      1        82267   1623.47
      1        82216   1623.47
      1        82165   1623.47
      1        82114   1623.47
      1        82063   1623.47
      1        82012   1623.47
      1        81961   1623.47
      1        81910   1623.47
      1        81859   1623.47
      1        81808   1623.47
      1        81757   1623.47
      1        81706   1623.47
      1        81655   1623.47
      1        81604   1623.47
      1        81553   1623.47
      1        81502   1623.47
      1        81451   1623.47
      1        81400   1623.47
      1        81349   1623.47
      1        81298   1623.47
      1        81247   1623.47
      1        81196   1623.47
      1        81145   1623.47
      1        81095   1623.47
      1        81045   1623.47
      1        80995   1623.47
      1        80945   1623.47
      1        80895   1623.47
      1        80845   1623.47
      1        80795   1623.47
      1        80745   1623.47
      1        80695   1623.47
      1        80645   1623.47
      1        80595   1623.47
      1        80545   1623.47
      1        80495   1623.47
      1        80445   1623.47
      1        80395   1623.47
      1        80345   1623.47
      1        80295   1623.47
      1        80245   1623.47
      1        80195   1623.47
      1        80145   1623.47
      1        80095   1623.47
      1        80045   1623.47
      1        79995   1623.47
      1        79945   1623.47
      1        79895   1623.47
      1        79845   1623.47
      1        79795   1623.47
      1        79745   1623.47
      1        79695   1623.47
      1        79645   1623.47
      1        79595   1623.47

n = 200,000 points
Repeat times    n         c
      1       200000   1623.47
      1       199876   1623.47
      1       199752   1623.47
      1       199628   1623.47
      1       199505   1623.47
      1       199382   1623.47
      1       199259   1623.47
      1       199136   1623.47
      1       199013   1623.47
      1       198890   1623.47
      1       198767   1623.47
      1       198644   1623.47
      1       198521   1623.47
      1       198398   1623.47
      1       198275   1623.47
      1       198152   1623.47
      1       198029   1623.47
      1       197907   1623.47
      1       197785   1623.47
      1       197663   1623.47
      1       197541   1623.47
      1       197419   1623.47
      1       197297   1623.47
      1       197175   1623.47
      1       197053   1623.47
      1       196931   1623.47
      1       196809   1623.47
      1       196687   1623.47
      1       196565   1623.47
      1       196443   1623.47
      1       196321   1623.47
      1       196200   1623.47
      1       196079   1623.47
      1       195958   1623.47
      1       195837   1623.47
      1       195716   1623.47
      1       195595   1623.47
      1       195474   1623.47
      1       195353   1623.47
      1       195232   1623.47
      1       195111   1623.47
      1       194990   1623.47
      1       194869   1623.47
      1       194748   1623.47
      1       194628   1623.47
      1       194508   1623.47
      1       194388   1623.47
      1       194268   1623.47
      1       194148   1623.47
      1       194028   1623.47
      1       193908   1623.47
      1       193788   1623.47
      1       193668   1623.47
      1       193548   1623.47
      1       193428   1623.47
      1       193308   1623.47
      1       193188   1623.47
      1       193069   1623.47
      1       192950   1623.47
      1       192831   1623.47
      1       192712   1623.47
      1       192593   1623.47
      1       192474   1623.47
      1       192355   1623.47
      1       192236   1623.47
      1       192117   1623.47
      1       191998   1623.47
